lat,long,elevation
-20,-95,-4258.5
-20,-90,-4163.5
-20,-85,-4403.7
-20,-80,-3788.3
-20,-75,-5100.7
-20,-70,979.2
-20,-65,3179.1
-20,-60,154.6
-20,-55,309.1
-20,-50,379.2
-20,-45,774.2
-20,-40,-39.7
-20,-35,-4167.3
-20,-30,-4992.2
-20,-25,-6280.7
-20,-20,-4931.5
-20,-15,-3618.3
-20,-10,-3818.5
-20,-5,-4972.7
-20,0,-4988.5
-20,5,-5272.5
-20,10,-2203
-20,15,1161.5
-20,20,1189
-20,25,942
-20,30,992.1
-20,35,-11
-20,40,-2712.3
-20,45,254.3
-20,50,-4313.2
-20,55,-4414.7
-20,60,-3900.3
-20,65,-2872.8
-20,70,-3506.9
-20,75,-4652.2
-20,80,-4859
-20,85,-5022.7
-20,90,-4634.5
-20,95,-5234.2
-20,100,-5814.8
-20,105,-5656.2
-20,110,-4185.3
-20,115,-724.2
-20,120,36.1
-20,125,177.9
-20,130,366.7
-20,135,285
-20,140,161
-20,145,742.2
-20,150,-74.5
-20,155,-3165
-20,160,-1458.2
-20,165,-3079
-20,170,-1696.2
-20,175,-2908.3
-15,-175,-2124.4
-15,-170,-4824
-15,-165,-5735
-15,-160,-5141
-15,-155,-4518.7
-15,-150,-4351.8
-15,-145,-2499.7
-15,-140,-2688.5
-15,-135,-4123.1
-15,-130,-4079.8
-15,-125,-3806.7
-15,-120,-3626.8
-15,-115,-3162.5
-15,-110,-3378.5
-15,-105,-3753
-15,-100,-3730.2
-15,-95,-3900.8
-15,-90,-4025
-15,-85,-4826.3
-15,-80,-4603
-15,-75,525.9
-15,-70,4099.9
-15,-65,159.3
-15,-60,222
-15,-55,686.2
-15,-50,554.3
-15,-45,731.7
-15,-40,365.9
-15,-35,-4550
-15,-30,-5123.7
-15,-25,-5274.3
-15,-20,-4514
-15,-15,-3350.8
-15,-10,-3489.2
-15,-5,-4302
-15,0,-5520.3
-15,5,-5486.8
-15,10,-3794.3
-15,15,1345.7
-15,20,1245.9
-15,25,1180.4
-15,30,758.6
-15,35,588.1
-15,40,154
-15,45,-3321.5
-15,50,635.1
-15,55,-4216.3
-15,60,-137.3
-15,65,-3427
-15,70,-3885.2
-15,75,-5100.5
-15,80,-5103.5
-15,85,-4653.8
-15,90,-4006
-15,95,-4934
-15,100,-5245.7
-15,105,-5799.8
-15,110,-5671
-15,115,-5766.2
-15,120,-1750.8
-15,125,-2.6
-15,130,80.4
-15,135,48.3
-15,140,-55.3
-15,145,315.6
-15,150,-1724.5
-15,155,-4501.5
-15,160,-5340
-15,165,-3941
-15,170,-3390.2
-15,175,-2750.3
-10,-175,-4157.7
-10,-170,-4990.8
-10,-165,-4533.7
-10,-160,-5396.8
-10,-155,-5110.2
-10,-150,-4080.4
-10,-145,-4963
-10,-140,-4073.5
-10,-135,-4418.5
-10,-130,-4297.5
-10,-125,-3740.5
-10,-120,-4072.7
-10,-115,-3914.9
-10,-110,-3032.3
-10,-105,-3814.5
-10,-100,-4350.5
-10,-95,-3716.5
-10,-90,-4142.7
